Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
HAXBY ROAD T2 T3,265,376,473,656,891,1157,1309,1393,1476,1561,1647,1732,1821,1940,2371,2808,3224,3608,3924,4195,4440,4804,5238,5674,6109,6543,6976,7407,7739,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HEBBURN,99,103,118,164,228,301,340,360,380,399,419,437,457,483,602,736,867,990,1087,1167,1239,1346,1472,1598,1724,1850,1976,2101,2198,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HEBBURN WEST,28,29,34,49,71,95,108,114,120,127,133,139,145,155,197,243,288,330,365,393,419,457,501,545,589,633,677,721,754,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HEDWORTH,240,268,330,481,688,932,1068,1143,1218,1293,1368,1442,1518,1636,2077,2550,3009,3443,3803,4111,4385,4770,5216,5663,6110,6556,7001,7445,7783,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HEIGHINGTON,2,3,3,4,5,7,8,8,9,10,11,11,12,13,19,26,32,38,44,49,54,59,65,71,76,82,88,93,98,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HEXHAM,91,129,171,258,377,520,599,649,699,749,800,851,904,996,1308,1619,1915,2208,2462,2685,2886,3153,3448,3744,4040,4334,4627,4918,5146,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HIGH BARMSTON,43,68,109,187,297,434,503,553,602,652,703,752,804,924,1375,1820,2260,2692,3097,3472,3823,4241,4680,5120,5559,5998,6436,6874,7210,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HIGH FLATTS,217,304,388,563,803,1088,1228,1316,1405,1494,1585,1674,1768,1921,2502,3088,3660,4209,4690,5111,5495,6026,6611,7198,7785,8371,8957,9542,9996,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HOUGHTON,195,261,338,501,733,1025,1182,1289,1396,1504,1612,1719,1829,1999,2548,3104,3646,4166,4616,5002,5333,5801,6320,6841,7362,7881,8400,8918,9316,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HOWDON,13,22,36,58,86,118,142,164,186,208,230,252,275,326,515,701,887,1071,1252,1429,1603,1785,1971,2156,2342,2527,2713,2898,3041,NPgN,Primary,NPg Best View,Number of heat pumps (total)
HUNTINGTON NEW LANE,141,222,281,381,508,657,743,797,852,906,962,1016,1074,1159,1468,1771,2063,2335,2579,2800,3005,3275,3578,3882,4186,4490,4793,5095,5332,NPgN,Primary,NPg Best View,Number of heat pumps (total)
